col,weight,gain,cover
app_count,399.3333333333333,798.5064197624876,123395.97867790177
app-device_count,173.0,353.5184809860089,21542.639983539873
ip-device_count,280.6666666666667,291.84476099868766,99056.94658594216
ip-os_count,243.0,138.4447496033754,34621.07353122676
ip_count,510.3333333333333,132.89494372376646,37302.91130072878
app-channel_count,260.3333333333333,124.92054312427577,5189.722332684173
ip-os-channel_count,104.0,85.69860830836312,2703.265997127111
ip-device-os_count,225.66666666666666,85.29701581237701,3236.097563685484
channel_count,370.6666666666667,80.32133197667142,51426.90209629829
app_timestd,343.6666666666667,69.8372889137883,19408.705814246827
app-device-channel_count,192.66666666666666,67.56316435738472,3877.394378158935
device_timestd,104.33333333333333,66.96736029550455,148177.4462733003
channel_timestd,339.3333333333333,56.49881178977305,4443.459974087794
device-channel_count,152.0,51.78601699161436,3556.1908342460088
device-channel_timestd,185.33333333333334,50.68767770952321,3402.940089360289
ip_timestd,389.0,46.67432934900706,2709.0072608612177
app-channel_timestd,209.66666666666666,32.6273057506377,4092.5014253677878
app-device_timestd,180.33333333333334,32.502881924250225,4147.299238618901
device-os_count,148.66666666666666,31.123513755420785,2888.9078175556733
ip-channel_count,194.66666666666666,28.88815262748325,2721.9342658865667
ip-app-os_count,146.66666666666666,26.86065119067049,3257.0755638003247
ip-app_count,209.33333333333334,26.101817082578563,3963.49245078943
app-os_count,162.33333333333334,23.664841642200717,3832.1968499546165
app-os-channel_timestd,193.66666666666666,21.954562992157218,3212.9293191813176
device-os_timestd,207.33333333333334,21.341309468207072,3618.9370321793776
app-device-os_count,140.33333333333334,20.55025644709058,3055.6227542514494
os_count,150.66666666666666,19.78925088623703,3644.4189036360317
os_timestd,206.0,19.723680885689518,4951.866763812178
ip-device-channel_count,149.0,18.203567040088448,3599.921663979499
os-channel_timestd,203.33333333333334,17.0504417285713,3867.345266903245
device-os-channel_timestd,170.66666666666666,16.719485210897282,3428.8038768806205
app-device-os-channel_timestd,149.33333333333334,16.428200806511512,3318.137961808259
device_count,91.0,16.117943222607067,4672.939704156432
app-os_timestd,201.66666666666666,16.053072021607505,3238.743458077906
device-os-channel_count,126.66666666666667,15.821875742181348,1861.9480840686408
app-device-os-channel_count,141.66666666666666,15.652968490260589,3074.065719584401
ip-app-device-os_count,178.0,15.617730033078445,4238.568036829588
ip-app-os-channel_count,108.33333333333333,14.14722828031963,4463.232312364315
app-device-channel_timestd,144.0,13.934591747046072,2808.093426853116
ip-app-device-os-channel_count,132.33333333333334,13.687465478515472,6020.899231049702
timestamp,539.0,13.322164014814986,2946.470176590632
ip-channel_timestd,186.66666666666666,12.967121854682146,2295.290316084365
hour,488.0,12.695450532896514,2008.0922312081912
app-os-channel_count,147.0,12.67930903717132,2935.9382204429203
app-device-os_timestd,155.66666666666666,12.569919215498421,3039.627901422831
ip-app-channel_count,118.33333333333333,11.758277713949939,3603.2414831758238
ip-device-os-channel_count,108.66666666666667,11.328928380852753,3896.377655534078
os-channel_count,157.33333333333334,11.250798215117092,3132.367519945686
ip-app-device_count,127.33333333333333,10.908403264859183,3286.35516519462
ip-app-device-channel_count,106.33333333333333,10.709116446614814,3272.548643033939
ip-app-device-os-channel_timestd,146.0,10.691789521808007,3474.02038940431
ip-app-device-os_timestd,133.33333333333334,10.536486993571428,2940.840688460318
ip-device-os-channel_timestd,130.66666666666666,10.285045158000502,3246.4434505836452
ip-app-os-channel_timestd,118.66666666666667,10.03589353522118,2885.3564521013845
ip-device_timestd,192.66666666666666,9.328670120301227,2513.027476230113
ip-app-device_timestd,153.0,9.307279596291204,2964.684981934288
ip-app_timestd,181.66666666666666,9.199291461114118,2301.80270978832
ip-app-channel_timestd,128.66666666666666,9.044990198241981,2608.2192393841856
ip-device-os_timestd,194.0,8.911194021770989,2744.642474000848
ip-os-channel_timestd,129.0,8.83384287887764,2743.6825214102923
ip-app-os_timestd,135.33333333333334,8.807184903271262,2580.118956932042
ip-app-device-channel_timestd,109.0,8.7662209010211,3193.152607871976
ip-device-channel_timestd,132.66666666666666,8.498087984802373,2294.2530831186637
ip-os_timestd,208.0,8.43445031087833,2188.9308343468165
