
#==============================================================================
# START !!! 901_cv_10per_328-1.py PID: 46428
#==============================================================================

[06:12:59] 16641350x100 matrix with 1664135000 entries loaded from ../data/dbuild_10per.mt
[06:31:36] 18490389x100 matrix with 1849038900 entries loaded from ../data/dvalid_10per.mt
[06:31:36] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[0]	build-auc:0.877596	valid-auc:0.87775
Multiple eval metrics have been passed: 'valid-auc' will be used for early stopping.

Will train until valid-auc hasn't improved in 50 rounds.
[590]	build-auc:0.981076	valid-auc:0.976155
[595]	build-auc:0.981146	valid-auc:0.976155
[600]	build-auc:0.981199	valid-auc:0.976153
[605]	build-auc:0.981212	valid-auc:0.976155
[610]	build-auc:0.981247	valid-auc:0.97615
[615]	build-auc:0.981309	valid-auc:0.976154
[620]	build-auc:0.981339	valid-auc:0.976147
[625]	build-auc:0.98138	valid-auc:0.976166
[630]	build-auc:0.981438	valid-auc:0.976161
[635]	build-auc:0.981482	valid-auc:0.976144
[640]	build-auc:0.981522	valid-auc:0.976133
[645]	build-auc:0.981557	valid-auc:0.976149
[650]	build-auc:0.981619	valid-auc:0.976188
[655]	build-auc:0.981645	valid-auc:0.976197
[660]	build-auc:0.981666	valid-auc:0.976201
[665]	build-auc:0.981706	valid-auc:0.976196
[670]	build-auc:0.981792	valid-auc:0.976204
[675]	build-auc:0.981823	valid-auc:0.976206
[680]	build-auc:0.981863	valid-auc:0.976221
[685]	build-auc:0.981901	valid-auc:0.976229
[690]	build-auc:0.98195	valid-auc:0.976231
[695]	build-auc:0.982	valid-auc:0.976233
[700]	build-auc:0.982048	valid-auc:0.976244
[705]	build-auc:0.982091	valid-auc:0.976258
[710]	build-auc:0.982117	valid-auc:0.976256
[715]	build-auc:0.982149	valid-auc:0.976258
[720]	build-auc:0.982191	valid-auc:0.976247
[725]	build-auc:0.982217	valid-auc:0.976251
[730]	build-auc:0.982245	valid-auc:0.976237
[735]	build-auc:0.982276	valid-auc:0.976229
[740]	build-auc:0.982318	valid-auc:0.976238
[745]	build-auc:0.982367	valid-auc:0.976236
[750]	build-auc:0.982406	valid-auc:0.976244
[755]	build-auc:0.982427	valid-auc:0.976233
[760]	build-auc:0.982469	valid-auc:0.976241
Stopping. Best iteration:
[714]	build-auc:0.982141	valid-auc:0.976262


#==============================================================================
# SUCCESS !!! 901_cv_10per_328-1.py
#==============================================================================

time: 76.43min
