col,weight,gain,cover
app_count,97.4,279.3233487699855,26397.140711380875
app-device_count,14.6,201.6137467306615,678.0029230471881
ip-device_count,39.6,139.71911386572344,46933.92647521013
app_std,4.0,96.96375461904762,64608.91867552381
app_max,24.4,90.15338538838823,60164.01563995277
ip-device-os_count,32.6,72.9225462230634,9011.088669081824
ip_count,107.4,69.93638823751147,16299.563361444652
channel_std,23.0,59.40946390268921,1747.6492155238325
os-channel_timemean,34.0,59.16871165616688,658.1172035068636
ip-os_count,55.4,56.482776507314725,350.87276891608883
app_binary_10,3.6,54.6069059,695.5586106666667
app-channel_mean,17.6,48.81053369674186,917.1059589492481
ip-app_count,20.2,43.959769831942864,509.0473729781197
device-channel_max,10.4,43.326788325396834,782.9974524761905
app-device_max,5.2,42.04878713333333,45689.038101666665
os_timemean,20.2,38.1629175015827,65459.697909176386
app-channel_max,37.6,37.364341041555846,30396.70863545559
app-channel_std,14.6,35.83579201436926,8805.02265459766
app-channel_count,18.0,35.57576515879204,536.3113210061398
channel_binary_1,9.8,34.55228597174603,857.0918036029303
app_timemean,21.4,32.71937550277778,4816.347656223906
device-os_std,2.4,32.299516999999994,234.07313666666664
channel_binary_8,11.8,29.099288713095234,518.0830387023809
device-channel_count,5.2,28.274041380952376,216.37138738095237
device_timemean,12.6,27.31944717229437,61605.30817157748
app_timemin,4.2,26.069686285,241.33381500000002
channel_timemax,12.2,24.902003727489177,524.6344251331169
app-device-channel_max,8.8,24.811681786713287,515.2711811853146
channel_binary_5,9.2,24.240292966666665,373.06134752380956
app_binary_6,2.6,24.130362,453.83245000000005
channel_timestd,22.8,24.06405175061827,454.6945389361862
device-channel_mean,3.2,23.541408999999998,351.7032066666667
device-channel_timemean,19.0,23.184745868995677,387.2670531538469
app_timestd,72.6,23.126904431330512,3609.5082738603937
os_mean,2.6,22.244259966666668,8729.055426666668
app-device-channel_std,5.0,21.747924666666666,339.5749788333334
app_min,12.2,21.110757434704187,906.4937835569984
device_binary_2,9.8,20.58200717777778,761.2206483333334
ip_timestd,38.6,20.38528041160587,478.861116216367
device-os_timemean,15.6,20.23881047363295,45916.48125817234
device-os_max,5.4,20.134425444444442,208.47897855555553
ip-app_std,12.8,19.811574872222224,3591.1085676111106
device-os-channel_timestd,16.8,19.699751489861747,254.63833623425498
channel_mean,17.8,19.49434208869048,11906.573448067458
device-os-channel_timemean,14.0,18.844333777655674,387.69446412454215
ip-device-channel_count,11.4,18.74004116712454,305.97137275274724
ip_timemin,25.0,18.631628693005588,794.5550575709547
app-device-channel_mean,3.4,18.619881333333332,542.3492270666668
os_count,4.2,18.01202225,309.87875985
same_ip-app-device-os-channel_diff,74.6,17.973137386164233,331.8870731770716
channel_max,21.0,17.77006508761613,6413.3789979786025
ip-app-device-os-channel_timestd,14.4,17.520375716233765,357.1595232168831
channel_binary_7,1.4,17.149629,346.56282
channel_count,15.8,16.983933416573763,3838.814474802304
ip-device-channel_std,7.6,16.938124476190477,651.0185063809524
ip-app-device-os-channel_std,3.6,16.4006501,681.299538
ip-os_std,11.4,16.385426149122804,11874.794900821053
ip-app-os_count,12.8,16.009291983974357,576.1720417275641
ip-app-device-os_count,10.8,15.87453223080808,469.0608699252525
channel_binary_3,5.0,15.803769452380951,315.6886173809524
app_binary_8,15.2,15.549614946969697,591.0363908257575
app_binary_9,4.0,15.467303499999996,291.2407968
ip-device-os_std,11.6,15.205732322735042,466.0166335260684
ip_timemax,27.4,15.115634444891304,1621.363305704917
ip-app-os-channel_timestd,11.2,15.046171226839826,271.4593550441558
ip-channel_std,9.8,14.926761755392159,869.6238200122549
app-os_count,5.2,14.912436493650793,391.653124031746
ip-app-device-os-channel_count,13.4,14.856230439112489,687.908636126247
ip-app-channel_count,13.2,14.791820181092437,378.2416672831286
ip_max,18.2,14.648862624378912,358.1701222008189
channel_binary_4,2.4,14.487750666666665,243.89634800000005
device-os_min,8.6,14.469646585714287,646.6024752857144
ip-app-device-channel_count,6.2,14.291197181818182,695.2724804545454
ip-device-os-channel_timestd,10.8,14.266370127272728,313.3947794060606
device-channel_timestd,11.8,13.9644335004995,542.6342625081977
ip-channel_count,15.0,13.913346334707068,346.9865142740948
app-device_timemean,16.0,13.694209496161616,461.2462377002021
ip-os-channel_timestd,13.0,13.565760682692305,280.5187863205128
ip-channel_timestd,15.6,13.507042722368421,1733.6493838443268
app-channel_timestd,12.0,13.41145546103896,397.88904666233765
ip-app-device-os_timestd,9.6,13.405354222222224,370.29805004761903
device-os_count,10.4,13.38155172034632,374.9248496245311
channel_timemean,15.6,13.31026109371021,423.3837185885683
