
#==============================================================================
# START !!! 901_cv_15per_328-1.py PID: 54336
#==============================================================================

[07:06:48] 24962025x100 matrix with 2496202500 entries loaded from ../data/dbuild_15per.mt
[07:09:49] 18490389x100 matrix with 1849038900 entries loaded from ../data/dvalid_10per.mt
[07:09:50] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[0]	build-auc:0.921297	valid-auc:0.921011
Multiple eval metrics have been passed: 'valid-auc' will be used for early stopping.

Will train until valid-auc hasn't improved in 50 rounds.
[590]	build-auc:0.979637	valid-auc:0.976528
[595]	build-auc:0.979684	valid-auc:0.97653
[600]	build-auc:0.979712	valid-auc:0.976537
[605]	build-auc:0.979755	valid-auc:0.976546
[610]	build-auc:0.979794	valid-auc:0.976534
[615]	build-auc:0.97983	valid-auc:0.976542
[620]	build-auc:0.979861	valid-auc:0.976542
[625]	build-auc:0.979903	valid-auc:0.976572
[630]	build-auc:0.979945	valid-auc:0.976578
[635]	build-auc:0.979973	valid-auc:0.976581
[640]	build-auc:0.980008	valid-auc:0.976582
[645]	build-auc:0.980041	valid-auc:0.976591
[650]	build-auc:0.980081	valid-auc:0.976609
[655]	build-auc:0.980116	valid-auc:0.976607
[660]	build-auc:0.980165	valid-auc:0.976594
[665]	build-auc:0.980202	valid-auc:0.976617
[670]	build-auc:0.980256	valid-auc:0.976629
[675]	build-auc:0.98029	valid-auc:0.976653
[680]	build-auc:0.980331	valid-auc:0.976662
[685]	build-auc:0.980387	valid-auc:0.976671
[690]	build-auc:0.980439	valid-auc:0.976678
[695]	build-auc:0.980478	valid-auc:0.976684
[700]	build-auc:0.980513	valid-auc:0.976677
[705]	build-auc:0.980573	valid-auc:0.97671
[710]	build-auc:0.980615	valid-auc:0.976723
[715]	build-auc:0.980646	valid-auc:0.976734
[720]	build-auc:0.980681	valid-auc:0.976742
[725]	build-auc:0.980714	valid-auc:0.976764
[730]	build-auc:0.98074	valid-auc:0.976767
[735]	build-auc:0.980761	valid-auc:0.976764
[740]	build-auc:0.980774	valid-auc:0.976762
[745]	build-auc:0.9808	valid-auc:0.976762
[750]	build-auc:0.980829	valid-auc:0.976774
[755]	build-auc:0.980892	valid-auc:0.976795
[760]	build-auc:0.980931	valid-auc:0.976799
[765]	build-auc:0.980942	valid-auc:0.976803
[770]	build-auc:0.980968	valid-auc:0.976811
[775]	build-auc:0.980991	valid-auc:0.9768
[780]	build-auc:0.981006	valid-auc:0.976815
[785]	build-auc:0.981043	valid-auc:0.976816
[790]	build-auc:0.981061	valid-auc:0.976814
[795]	build-auc:0.981083	valid-auc:0.976826
[800]	build-auc:0.981103	valid-auc:0.97684
[805]	build-auc:0.981144	valid-auc:0.976851
[810]	build-auc:0.981171	valid-auc:0.976849
[815]	build-auc:0.981231	valid-auc:0.97686
[820]	build-auc:0.981264	valid-auc:0.976859
[825]	build-auc:0.981286	valid-auc:0.976871
[830]	build-auc:0.981297	valid-auc:0.976867
[835]	build-auc:0.981325	valid-auc:0.976859
[840]	build-auc:0.981342	valid-auc:0.976854
[845]	build-auc:0.981374	valid-auc:0.976853
[850]	build-auc:0.981436	valid-auc:0.976856
[855]	build-auc:0.981457	valid-auc:0.976871
[860]	build-auc:0.981503	valid-auc:0.976879
[865]	build-auc:0.981533	valid-auc:0.976879
[870]	build-auc:0.981548	valid-auc:0.97688
[875]	build-auc:0.981583	valid-auc:0.976873
[880]	build-auc:0.981607	valid-auc:0.976869
[885]	build-auc:0.981651	valid-auc:0.976877
[890]	build-auc:0.981673	valid-auc:0.97688
[895]	build-auc:0.981695	valid-auc:0.976877
[900]	build-auc:0.981716	valid-auc:0.976876
[905]	build-auc:0.981736	valid-auc:0.976878
[910]	build-auc:0.981758	valid-auc:0.976885
[915]	build-auc:0.981782	valid-auc:0.976886
[920]	build-auc:0.981802	valid-auc:0.976881
[925]	build-auc:0.981821	valid-auc:0.976879
[930]	build-auc:0.981871	valid-auc:0.976876
[935]	build-auc:0.981911	valid-auc:0.976871
[940]	build-auc:0.981947	valid-auc:0.976872
[945]	build-auc:0.981976	valid-auc:0.976873
[950]	build-auc:0.982004	valid-auc:0.976877
[955]	build-auc:0.98203	valid-auc:0.976889
[960]	build-auc:0.982053	valid-auc:0.976891
[965]	build-auc:0.982078	valid-auc:0.976879
[970]	build-auc:0.982102	valid-auc:0.976884
[975]	build-auc:0.982125	valid-auc:0.976879
[980]	build-auc:0.982149	valid-auc:0.976879
[985]	build-auc:0.982168	valid-auc:0.97688
[990]	build-auc:0.982186	valid-auc:0.976878
[995]	build-auc:0.98221	valid-auc:0.976884
[1000]	build-auc:0.982241	valid-auc:0.976879
[1005]	build-auc:0.982262	valid-auc:0.976893
[1010]	build-auc:0.982284	valid-auc:0.976887
[1015]	build-auc:0.982312	valid-auc:0.97689
[1020]	build-auc:0.982329	valid-auc:0.976884
[1025]	build-auc:0.982365	valid-auc:0.976889
[1030]	build-auc:0.982389	valid-auc:0.976904
[1035]	build-auc:0.982417	valid-auc:0.976912
[1040]	build-auc:0.982444	valid-auc:0.976915
[1045]	build-auc:0.982488	valid-auc:0.976927
[1050]	build-auc:0.982506	valid-auc:0.976929
[1055]	build-auc:0.982542	valid-auc:0.976933
[1060]	build-auc:0.982565	valid-auc:0.976934
[1065]	build-auc:0.982583	valid-auc:0.976937
[1070]	build-auc:0.982606	valid-auc:0.976933
[1075]	build-auc:0.982619	valid-auc:0.976939
[1080]	build-auc:0.982637	valid-auc:0.976941
[1085]	build-auc:0.982647	valid-auc:0.976943
[1090]	build-auc:0.982668	valid-auc:0.976956
[1095]	build-auc:0.982687	valid-auc:0.976943
[1100]	build-auc:0.982697	valid-auc:0.976941
[1105]	build-auc:0.982723	valid-auc:0.976948
[1110]	build-auc:0.982757	valid-auc:0.976939
[1115]	build-auc:0.982779	valid-auc:0.976952
[1120]	build-auc:0.98281	valid-auc:0.97695
[1125]	build-auc:0.982843	valid-auc:0.976953
[1130]	build-auc:0.982859	valid-auc:0.976955
[1135]	build-auc:0.982884	valid-auc:0.976959
[1140]	build-auc:0.982901	valid-auc:0.976965
[1145]	build-auc:0.982922	valid-auc:0.976966
[1150]	build-auc:0.982942	valid-auc:0.97697
[1155]	build-auc:0.982954	valid-auc:0.976978
[1160]	build-auc:0.982989	valid-auc:0.976973
[1165]	build-auc:0.983003	valid-auc:0.976965
[1170]	build-auc:0.983038	valid-auc:0.976958
[1175]	build-auc:0.983064	valid-auc:0.976959
[1180]	build-auc:0.98309	valid-auc:0.976961
[1185]	build-auc:0.983107	valid-auc:0.976969
[1190]	build-auc:0.983139	valid-auc:0.976976
[1195]	build-auc:0.983161	valid-auc:0.976977
[1200]	build-auc:0.98319	valid-auc:0.976975
[1205]	build-auc:0.983215	valid-auc:0.976978
[1210]	build-auc:0.983236	valid-auc:0.976978
[1215]	build-auc:0.983255	valid-auc:0.976981
[1220]	build-auc:0.983284	valid-auc:0.976969
[1225]	build-auc:0.983313	valid-auc:0.97698
[1230]	build-auc:0.98335	valid-auc:0.976976
[1235]	build-auc:0.983376	valid-auc:0.976971
[1240]	build-auc:0.983396	valid-auc:0.976964
[1245]	build-auc:0.983417	valid-auc:0.976963
[1250]	build-auc:0.983453	valid-auc:0.976965
[1255]	build-auc:0.983478	valid-auc:0.976964
[1260]	build-auc:0.983492	valid-auc:0.976961
[1265]	build-auc:0.983512	valid-auc:0.976962
Stopping. Best iteration:
[1215]	build-auc:0.983255	valid-auc:0.976981


#==============================================================================
# SUCCESS !!! 901_cv_15per_328-1.py
#==============================================================================

time: 114.34min
