col,weight,gain,cover
nunique_ip-channel-hour_ip-hour,16.4,302.76306531540615,88135.84038476639
nunique_ip-app-os_app,35.0,278.0665437865497,2690.775608030303
timediff-meadian_app,15.4,166.16858967521367,23023.245877472527
nunique_app-os-hour_app-hour,28.6,132.91997034271822,59633.88725567145
count_app,16.8,131.536392663325,1020.7929228320803
nunique_ip-app-os_ip-os,6.8,131.31425610822512,45134.34359201732
nunique_ip-device-channel_ip-device,6.6,123.6709659047619,11402.334328333332
timedelta_rev_ip-os-channel,12.4,112.13411741422924,256.6231730234896
totalcount_ip-device,6.6,86.02310272380953,19418.19093194286
nunique_app-device-os-channel_device-channel,5.6,76.91228432539683,274.82222412698417
nunique_app-device-os_app,10.2,76.48236851190475,22029.477807428568
nunique_ip-device-os-channel_ip-device-os,4.2,70.98464643333332,12608.377043333336
nunique_app-device-channel_app-channel,10.2,70.321026,72562.66733
nunique_ip-app-device-os_ip-device-os,10.8,70.05260793055554,11742.5947056627
nunique_ip-channel-day_ip-day,22.6,68.15633450079171,17632.45684290679
nunique_app-device-day_app,6.4,67.2596964952381,263.7337319047619
nunique_ip-app-hour_app-hour,4.6,64.88666311111112,384.68083684444446
timedelta_rev_ip-os,20.4,63.83020359379699,234.86814064101924
nunique_ip-day-hour_ip-day,7.4,59.55822943846154,1717.648970123077
nunique_ip-os-channel_ip-os,4.8,57.99839621904762,36503.98822190476
nunique_app-os_app,8.2,56.553035279999996,3325.735847422223
nunique_app-device-channel_channel,23.4,56.43614811729135,22330.39269382009
totalcount_ip-app,5.0,55.41088229511111,364.824226
timemedian_channel,13.8,53.21205707541478,462.2573014555052
nunique_device-channel-hour_channel-hour,23.6,52.31597024004931,42529.29579506272
nunique_ip-device-os-channel_ip-os,21.4,50.38093798070216,81335.02700714019
timedelta_rev_ip-app-device-os-channel,11.8,49.29073058321678,273.18202560372964
nunique_ip-device-hour_ip,13.2,48.47386163696581,7061.8455584615385
timediff-minmax_ip-os,5.0,48.23337366666667,184.10895366666668
timedelta_rev_ip-app-os-channel,11.4,47.41769785934066,254.0057773626373
timediff-minmax_ip-app-os,3.8,46.63694426666667,178.25047176666666
nunique_ip-device-day_ip-day,2.4,45.47185533333333,400.7194713333334
totalcount_app,9.0,43.4918409047619,26726.33716485714
nunique_app-device-os-channel_app-channel,19.4,38.87802190785345,17419.845538227404
nunique_ip-device_ip,10.8,38.114612720707065,512.20178225
timedelta_rev_ip-device-os-channel,8.8,37.410530059595956,262.18470464141416
nunique_app-channel_channel,3.6,36.98757506666667,419.85518466666673
nunique_app-os-hour_app,10.6,36.57712752447553,579.4673355734267
timediff-minmax_ip-app-device-os,4.4,36.254871816666665,193.25392449999998
timedelta_rev_ip-device,19.2,35.161073466040094,406.09262122318285
nunique_app-device-hour_app,6.6,34.92811554857143,241.30732985714286
nunique_ip-day-hour_ip,3.4,34.500260266666665,1254.8566647999999
timedelta_rev_ip-app-os,35.8,33.30387499370322,364.7719148899253
nunique_app-channel_app,2.0,31.552526666666665,87.35701133333335
timedelta_ip-app,16.6,31.185560751696833,253.62318201229678
timediff-minmax_ip-app,4.8,30.367048485714285,180.6577453571429
nunique_ip-device-os-channel_ip,1.2,29.205220000000004,462.154
timedelta_rev_ip-app-channel,10.4,28.74267180833334,276.571917375
timedelta_rev_ip,22.2,27.846061471937865,283.1299951313064
nunique_ip-os_ip,7.6,27.767100476984126,882.1259387698412
nunique_device-channel-day_channel,8.0,27.758582057142853,52292.766557333336
nunique_device-os-channel_device-channel,9.6,27.643862036324787,302.6555137799145
nunique_ip-channel-day_channel,1.8,27.439467333333333,270.24853866666666
timediff-meadian_channel,14.2,27.43198130833333,326.43686323214285
nunique_ip-hour_ip,3.2,27.167318866666665,212.36424433333337
timedelta_rev_ip-app,32.0,26.125294690042843,375.3018032057158
timediff-minmax_ip-channel,6.4,26.07528427777778,213.94172845555553
timedelta_rev_ip-channel,12.8,25.503777382862236,227.28350374891775
nunique_ip-app-channel_ip-app,2.0,24.7549586,271.02008
timemax_channel,7.6,24.576567664761903,349.7894733333334
timeskew_channel,6.4,24.35898221428571,319.84487723809525
nunique_ip-channel_ip,8.6,24.188955966666665,6418.6762015333325
timedelta_rev_ip-device-os,14.8,23.64195691715686,219.27887638186274
nunique_ip-app-os_ip-app,2.8,23.2933945,309.9139965
timedelta_ip-channel,14.6,23.187314664402265,278.9877030821179
nunique_app-os-channel_app-channel,4.4,22.73502357142857,224.86998633333332
nunique_ip-app-day_ip-day,11.8,22.6796144276449,297.0419556864469
nunique_app-day-hour_app,6.6,22.57307521969697,348.3973513636364
count_ip,6.8,22.52609654805195,598.5706895116884
nunique_ip-device-os-channel_ip-device,1.6,22.089599350000004,161.544123
totalcount_ip,6.8,22.08472173809524,2613.2390515119046
timedelta_rev_ip-app-device-os,46.0,21.981437750632615,369.79143525084237
nunique_device-channel-day_channel-day,5.2,21.164076450000003,7201.9947274999995
totalcount_ip-channel,5.2,20.989770927777776,289.86319944444443
nunique_ip-app-device-channel_ip-app,7.2,20.841522657142853,940.2188180659341
timeskew_os-channel,5.6,20.769112599999996,220.16440826666667
timedelta_rev_ip-app-device-channel,7.0,20.68506570793651,265.4182876984127
nunique_ip-device-day_ip,8.6,20.60232025,1214.5060032222223
timemedian_app,2.6,20.268812666666665,276.170149
nunique_app-device-channel_app-device,2.4,20.138708666666666,472.99678833333337
totalcount_ip-os,5.8,20.06808097333333,22125.186710730155
nunique_ip-os-day_ip-day,22.0,19.999825203091785,279.43291757487924
nunique_device-os-channel_channel,5.2,19.415226714285716,264.40025014285715
totalcount_app-channel,10.4,19.354334577272727,380.63715372727273
nunique_ip-app-os_app-os,3.2,19.350112,281.24934
